Código CNO;Nombre CNO;Código DEN C.N.O.;Nombre DENOM C.N.O.;Código CUOC;Nombre CUOC;Código DEN CUOC;Nombre DENOM CUOC
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.002;Director general entidades financieras de telecomunicaciones y otros servicios;11.200.024;Director general entidades financieras de telecomunicaciones;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.003;Gerente general compañía de seguros;11.200.038;Gerente general de compañía de seguros;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.004;Gerente general compañía fiduciaria;11.200.041;Gerente general de compañía fiduciaria;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.005;Gerente general compañía servicios de informática;11.200.039;Gerente general de compañía de servicios de informática;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.006;Gerente general empresa de telecomunicaciones;11.200.048;Gerente general de empresa de telecomunicaciones;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.007;Gerente general empresa de teléfonos;11.200.049;Gerente general de empresa de teléfonos;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.008;Gerente general entidades financieras de telecomunicaciones y otros servicios;11.200.066;Gerente general entidades financieras de telecomunicaciones;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.009;Presidente banco;11.200.071;Presidente de banco;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.010;Presidente compañía de seguros;11.200.073;Presidente de compañía de seguros;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.011;Presidente empresa telecomunicaciones;11.200.076;Presidente de empresa de telecomunicaciones;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.012;Presidente entidades financieras de telecomunicaciones y otros servicios;11.200.084;Presidente entidades financieras de telecomunicaciones;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.013;Subdirector ejecutivo compañía de seguros;13.460.014;Subdirector ejecutivo de compañía de seguros;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.017;Vicepresidente de mercadeo entidades financieras de telecomunicaciones y otros servicios;12.113.026;Vicepresidente de mercadeo entidades financieras de telecomunicaciones;12113;Directores y gerentes de banca, crédito e inversiones
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.018;Vicepresidente de operaciones entidades financieras de telecomunicaciones y otros servicios;12.113.028;Vicepresidente de operaciones entidades financieras de telecomunicaciones;12113;Directores y gerentes de banca, crédito e inversiones
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.019;Vicepresidente de producción entidades financieras de telecomunicaciones y otros servicios;12.113.029;Vicepresidente de producción entidades financieras de telecomunicaciones;12113;Directores y gerentes de banca, crédito e inversiones
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.022;Vicepresidente empresa telecomunicaciones;11.200.092;Vicepresidente de empresa de telecomunicaciones;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.023;Vicepresidente entidades financieras de telecomunicaciones y otros servicios;11.200.102;Vicepresidente entidades financieras de telecomunicaciones;11200;Directores y gerentes generales
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.024;Vicepresidente financiero y administrativo entidades financieras de telecomunicaciones y otros servicios;12.111.048;Vicepresidente financiero y administrativo entidades financieras de telecomunicaciones;12111;Directores y gerentes financieros
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.025;Vicepresidente jurídico entidades financieras;12.111.049;Vicepresidente financiero y jurídico;12111;Directores y gerentes financieros
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.026;Gerente general de servicios financieros, de telecomunicaciones y otros servicios a las empresas;11.200.055;Gerente general de servicios financieros y de telecomunicaciones;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.004;Director ejecutivo organización de membresía;11.140.009;Director ejecutivo de organización de membrecía;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.005;Director ejecutivo organización de voluntariado;11.140.011;Director ejecutivo de organización voluntariado;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.006;Director ejecutivo organización no gubernamental;11.140.010;Director ejecutivo de organización no gubernamental;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.007;Director general asociación deportiva;11.140.013;Director general de asociación deportiva;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.008;Director general clínica;11.200.012;Director general de clínica;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.009;Director general entidad promotora de salud;11.200.017;Director general de entidad promotora de salud;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.010;Director general hospital;11.200.018;Director general de hospital;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.013;Director general institución servicios de salud;11.200.019;Director general de institución de servicios salud;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.015;Director general organización de servicio social;11.200.022;Director general de organización de servicio social;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.016;Director general organización humanitaria;11.140.016;Director general de organización humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.018;Director partido político;11.140.007;Director de partido político;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.019;Dirigente organización humanitaria;11.140.020;Dirigente de organización humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.020;Gerente general empresa de servicios a la salud;11.200.046;Gerente general de empresa de servicios de salud;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.021;Gerente general entidad hospitalaria;11.200.052;Gerente general de entidad hospitalaria;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.022;Gerente general entidad promotora salud;11.200.053;Gerente general de entidad promotora salud;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.024;Presidente asociación científica;11.140.025;Presidente de asociación científica;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.025;Presidente asociación deportiva;11.140.026;Presidente de asociación deportiva;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.026;Presidente comité de derechos humanos;11.140.028;Presidente de comité de derechos humanos;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.028;Presidente organización gremial;11.140.029;Presidente de organización gremial;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.029;Presidente organización humanitaria;11.140.030;Presidente de organización humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.030;Presidente organización sindical;11.140.031;Presidente de organización sindical;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.031;Presidente partido político;11.140.032;Presidente de partido político;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.033;Rector universidad;11.200.085;Rector de universidad;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.034;Secretario general organización humanitaria;11.140.037;Secretario general de organización humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.035;Secretario general organización sindical;11.140.038;Secretario general de organización sindical;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.036;Secretario general partido político;11.140.039;Secretario general de partido político;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.038;Vicepresidente de recursos humanos, entidades de salud, educación y organizaciones de membresía;11.200.098;Vicepresidente de recursos humanos entidades de salud educación y organizaciones de membresía;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.039;Vicepresidente entidad de salud;11.200.095;Vicepresidente de entidad de salud;11200;Directores y gerentes generales
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.042;Vicerrector académico universidad;11.200.105;Vicerrector académico de universidad;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.001;Director ejecutivo empresas de comercio, medios de comunicación y otros servicios;11.200.008;Director ejecutivo empresas de comercios medios de comunicación;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.002;Director general empresa de comercio;11.200.014;Director general de empresa de comercio;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.003;Director general ventas empresas de comercio medios de comunicación y otros servicios;11.200.028;Director general ventas empresas de comercio medios de comunicación;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.004;Director gerente general comercio medios de comunicación y otros servicios;11.200.011;Director general comercio medios de comunicación;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.006;Gerente general cadena de restaurantes;11.200.036;Gerente general de cadena restaurantes;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.007;Gerente general cadena radial;11.200.035;Gerente general de cadena radial;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.008;Gerente general compañía de viajes y turismo;11.200.040;Gerente general de compañía de viajes y turismo;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.010;Gerente general empresas de comercio medios de comunicación y otros servicios;11.200.064;Gerente general empresas de comercio medios de comunicación;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.013;Gerente general ventas empresas de comercio medios de comunicación y otros servicios;11.200.057;Gerente general de ventas en empresas de comercio medios de comunicación;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.014;Presidente club deportivo profesional;11.140.027;Presidente de club deportivo profesional;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.016;Presidente empresa de radio y televisión;11.200.075;Presidente de empresa de radio y televisión;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.017;Presidente empresas de comercio medios de comunicación y otros servicios;11.200.082;Presidente empresas de comercio medios de comunicación;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.023;Vicepresidente de operaciones medios de comunicación;13.303.018;Vicepresidente de operaciones de medios de comunicación;13303;Directores y gerentes de comunicaciones y audiovisuales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.024;Vicepresidente de producción empresas de comercio, medios de comunicación y otros servicios;13.303.021;Vicepresidente de producción empresas de comercio medios de comunicación;13303;Directores y gerentes de comunicaciones y audiovisuales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.025;Vicepresidente de producción medios de comunicación;13.303.020;Vicepresidente de producción de medios de comunicación;13303;Directores y gerentes de comunicaciones y audiovisuales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.028;Vicepresidente empresas de comercio medios de comunicación y otros servicios;11.200.100;Vicepresidente empresas de comercio medios de comunicación;11200;Directores y gerentes generales
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.029;Vicepresidente financiero y administrativo empresas de comercio, medios de comunicación y otros servicios;12.111.046;Vicepresidente financiero y administrativo empresas de comercio medios de comunicación;12111;Directores y gerentes financieros
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.001;Director ejecutivo empresa manufacturera;13.210.015;Director ejecutivo de empresa manufacturera;13210;Directores y gerentes de industrias manufactureras
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.005;Director gerente general producción de bienes, servicios públicos, transporte y construcción;11.200.069;Gerente general producción de bienes servicios públicos transporte y construcción;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.007;Gerente general empresa agroindustrial;11.200.042;Gerente general de empresa de agroindustrial;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.009;Gerente general empresa de construcción;11.200.044;Gerente general de empresa de construcción;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.013;Gerente general empresa de transporte;11.200.050;Gerente general de empresa de transporte;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.014;Gerente general empresa metalmecánica;11.200.045;Gerente general de empresa de metalmecánica;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.017;Gerente general industria manufacturera;11.200.054;Gerente general de industria manufacturera;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.018;Presidente compañía constructora;11.200.072;Presidente de compañía constructora;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.019;Presidente empresa manufacturera;11.200.078;Presidente de empresa manufacturera;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.021;Vicepresidente compañía constructora;11.200.089;Vicepresidente de compañía constructora;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.022;Vicepresidente compañía petrolera;11.200.090;Vicepresidente de compañía petrolera;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.025;Vicepresidente de operaciones empresa de energía eléctrica;13.210.065;Vicepresidente de operaciones de empresa de energía eléctrica;13210;Directores y gerentes de industrias manufactureras
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.027;Vicepresidente de producción compañía petrolera;13.220.026;Vicepresidente de producción de compañía petrolera;13220;Directores y gerentes de producción primaria (excepto agricultura)
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.028;Vicepresidente de producción empresa manufacturera;13.210.066;Vicepresidente de producción de empresa manufacturera;13210;Directores y gerentes de industrias manufactureras
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.032;Vicepresidente empresa manufacturera;11.200.094;Vicepresidente de empresa manufacturera;11200;Directores y gerentes generales
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.033;Vicepresidente empresa transporte;11.200.093;Vicepresidente de empresa de transporte;11200;Directores y gerentes generales
0017;Directores y gerentes generales de servicios y procesos de negocio.;D-0017.001;Gerente general de servicios de procesos de negocio;13.492.005;Gerente de procesos de negocio;13492;Directores y gerentes de servicios y procesos de negocio
0017;Directores y gerentes generales de servicios y procesos de negocio.;D-0017.002;Director general de servicios de procesos de negocio;13.492.002;Director de servicios de procesos de negocio;13492;Directores y gerentes de servicios y procesos de negocio
0017;Directores y gerentes generales de servicios y procesos de negocio.;D-0017.004;Director de operaciones;13.492.001;Director de operaciones de procesos;13492;Directores y gerentes de servicios y procesos de negocio
0017;Directores y gerentes generales de servicios y procesos de negocio.;D-0017.005;Gerente de cuenta;Sin clasificación en CUOC 2023;;;
0017;Directores y gerentes generales de servicios y procesos de negocio.;D-0017.006;Director y gerente general de servicios y procesos de negocio;13.492.003;Director y gerente de servicios y procesos de negocio;13492;Directores y gerentes de servicios y procesos de negocio
0111;Gerentes Financieros;D-0111.003;Director departamento financiero;12.111.003;Director de departamento de financiero;12111;Directores y gerentes financieros
0111;Gerentes Financieros;D-0111.005;Director fondos y pagos;12.111.006;Director de fondos y pagos;12111;Directores y gerentes financieros
0111;Gerentes Financieros;D-0111.006;Director planeación financiera;12.111.007;Director de planeación financiera;12111;Directores y gerentes financieros
0111;Gerentes Financieros;D-0111.008;Director presupuesto y contabilidad;12.111.008;Director de presupuesto y contabilidad;12111;Directores y gerentes financieros
0111;Gerentes Financieros;D-0111.009;Gerente control financiero;12.111.014;Gerente de control financiero;12111;Directores y gerentes financieros
0111;Gerentes Financieros;D-0111.013;Jefe control financiero;12.111.024;Jefe de control financiero;12111;Directores y gerentes financieros
0111;Gerentes Financieros;D-0111.019;Jefe tesorería;12.111.036;Jefe de tesorería;12111;Directores y gerentes financieros
0112;Gerentes de Talento Humano;D-0112.001;Director departamento de selección personal;12.120.005;Director de departamento de selección personal;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.002;Director departamento desarrollo de personal;12.120.002;Director de departamento de desarrollo de personal;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.003;Director departamento gestión humana;12.120.003;Director de departamento de gestión humana;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.005;Director personal;12.120.006;Director de personal;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.006;Director recursos humanos;12.120.007;Director de recursos humanos;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.007;Director relaciones industriales;12.120.008;Director de relaciones industriales;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.008;Director relaciones laborales;12.120.009;Director de relaciones laborales;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.009;Gerente gestión humana;12.120.013;Gerente de gestión humana;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.010;Gerente recursos humanos;12.120.014;Gerente de recursos humanos;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.011;Gerente relaciones industriales;12.120.015;Gerente de relaciones industriales;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.040;Jefe departamento recursos humanos;12.120.027;Jefe de departamento de recursos humanos;12120;Directores y gerentes de gestión de talento humano
0112;Gerentes de Talento Humano;D-0112.048;Jefe de bienestar;12.120.020;Jefe de bienestar recursos humanos;12120;Directores y gerentes de gestión de talento humano
0113;Gerentes de Compras y Adquisiciones;D-0113.002;Director departamento de abastecimiento;13.241.003;Director de departamento de abastecimiento;13241;Directores y gerentes de compras y adquisiciones
0113;Gerentes de Compras y Adquisiciones;D-0113.003;Gerente abastecimiento;13.241.005;Gerente de abastecimiento;13241;Directores y gerentes de compras y adquisiciones
0113;Gerentes de Compras y Adquisiciones;D-0113.004;Gerente compras y adquisiciones;13.241.008;Gerente de compras y adquisiciones;13241;Directores y gerentes de compras y adquisiciones
0113;Gerentes de Compras y Adquisiciones;D-0113.005;Gerente compras y materiales;13.241.009;Gerente de compras y materiales;13241;Directores y gerentes de compras y adquisiciones
0113;Gerentes de Compras y Adquisiciones;D-0113.009;Jefe departamento compras y suministros;13.241.013;Jefe de departamento de compras y suministros;13241;Directores y gerentes de compras y adquisiciones
0113;Gerentes de Compras y Adquisiciones;D-0113.014;Jefe de compras de materia prima;Sin clasificación en CUOC 2023;;;
0114;Gerentes de Otros Servicios Administrativos;D-0114.005;Director servicios administrativos;12.199.006;Director de servicios administrativos;12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones
0114;Gerentes de Otros Servicios Administrativos;D-0114.011;Jefe admisiones y registro de personal;12.120.019;Jefe de admisiones y registro de personal;12120;Directores y gerentes de gestión de talento humano
0114;Gerentes de Otros Servicios Administrativos;D-0114.013;Jefe control interno;12.111.023;Jefe control interno financiero;12111;Directores y gerentes financieros
0114;Gerentes de Otros Servicios Administrativos;D-0114.016;Jefe recursos físicos;13.244.014;Jefe de recursos físicos;13244;Directores y gerentes de cadena de suministro
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.002;Director departamento crédito;12.113.002;Director de departamento de crédito;12113;Directores y gerentes de banca, crédito e inversiones
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.003;Director oficina banca;13.460.003;Director de oficina banca;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.006;Gerente banco;13.460.005;Gerente de banco;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.011;Gerente inversión;12.113.014;Gerente inversión bancaria;12113;Directores y gerentes de banca, crédito e inversiones
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.013;Gerente oficina banca;13.460.008;Gerente de oficina banca;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.014;Gerente operaciones banca;12.113.012;Gerente de operaciones de banca;12113;Directores y gerentes de banca, crédito e inversiones
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.018;Jefe departamento crédito;12.113.018;Jefe de departamento de crédito;12113;Directores y gerentes de banca, crédito e inversiones
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.019;Jefe sección fiduciaria;12.113.021;Jefe de sección de fiduciaria;12113;Directores y gerentes de banca, crédito e inversiones
0122;Gerentes de Banca, Crédito e Inversiones;D-0122.021;Subgerente comercial banca personal;12.113.023;Subgerente comercial de banca personal;12113;Directores y gerentes de banca, crédito e inversiones
