Código CNO;Nombre CNO;Código DEN C.N.O.;Nombre DENOM CON;NombreDENOMCON1;Código CUOC;NombreCUOC;NombreCUOC1;Código DEN CUOC;Nombre DENOM CUOC;;;;;;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.003;Gerente general compañía de seguros;Gerente general compañia de seguros;11.200.038;Gerente general de compañía de seguros;Gerente general de compañia de seguros;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.004;Gerente general compañía fiduciaria;Gerente general compañia fiduciaria;11.200.041;Gerente general de compañía fiduciaria;Gerente general de compañia fiduciaria;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.005;Gerente general compañía servicios de informática;Gerente general compañia servicios de informatica;11.200.039;Gerente general de compañía de servicios de informática;Gerente general de compañia de servicios de informatica;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.006;Gerente general empresa de telecomunicaciones;Gerente general empresa de telecomunicaciones;11.200.048;Gerente general de empresa de telecomunicaciones;Gerente general de empresa de telecomunicaciones;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.007;Gerente general empresa de teléfonos;Gerente general empresa de telefonos;11.200.049;Gerente general de empresa de teléfonos;Gerente general de empresa de telefonos;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.008;Gerente general entidades financieras de telecomunicaciones y otros servicios;Gerente general entidades financieras de telecomunicaciones y otros servicios;11.200.066;Gerente general entidades financieras de telecomunicaciones;Gerente general entidades financieras de telecomunicaciones;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.009;Presidente banco;Presidente banco;11.200.071;Presidente de banco;Presidente de banco;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.010;Presidente compañía de seguros;Presidente compañia de seguros;11.200.073;Presidente de compañía de seguros;Presidente de compañia de seguros;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.011;Presidente empresa telecomunicaciones;Presidente empresa telecomunicaciones;11.200.076;Presidente de empresa de telecomunicaciones;Presidente de empresa de telecomunicaciones;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.012;Presidente entidades financieras de telecomunicaciones y otros servicios;Presidente entidades financieras de telecomunicaciones y otros servicios;11.200.084;Presidente entidades financieras de telecomunicaciones;Presidente entidades financieras de telecomunicaciones;11200;Directores y gerentes generales;;;;;11;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.013;Subdirector ejecutivo compañía de seguros;Subdirector ejecutivo compañia de seguros;13.460.014;Subdirector ejecutivo de compañía de seguros;Subdirector ejecutivo de compañia de seguros;13460;Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.017;Vicepresidente de mercadeo entidades financieras de telecomunicaciones y otros servicios;Vicepresidente de mercadeo entidades financieras de telecomunicaciones y otros servicios;12.113.026;Vicepresidente de mercadeo entidades financieras de telecomunicaciones;Vicepresidente de mercadeo entidades financieras de telecomunicaciones;12113;Directores y gerentes de banca, crédito e inversiones;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.018;Vicepresidente de operaciones entidades financieras de telecomunicaciones y otros servicios;Vicepresidente de operaciones entidades financieras de telecomunicaciones y otros servicios;12.113.028;Vicepresidente de operaciones entidades financieras de telecomunicaciones;Vicepresidente de operaciones entidades financieras de telecomunicaciones;12113;Directores y gerentes de banca, crédito e inversiones;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.019;Vicepresidente de producción entidades financieras de telecomunicaciones y otros servicios;Vicepresidente de produccion entidades financieras de telecomunicaciones y otros servicios;12.113.029;Vicepresidente de producción entidades financieras de telecomunicaciones;Vicepresidente de produccion entidades financieras de telecomunicaciones;12113;Directores y gerentes de banca, crédito e inversiones;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.022;Vicepresidente empresa telecomunicaciones;Vicepresidente empresa telecomunicaciones;11.200.092;Vicepresidente de empresa de telecomunicaciones;Vicepresidente de empresa de telecomunicaciones;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.023;Vicepresidente entidades financieras de telecomunicaciones y otros servicios;Vicepresidente entidades financieras de telecomunicaciones y otros servicios;11.200.102;Vicepresidente entidades financieras de telecomunicaciones;Vicepresidente entidades financieras de telecomunicaciones;11200;Directores y gerentes generales;;;;;1;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.024;Vicepresidente financiero y administrativo entidades financieras de telecomunicaciones y otros servicios;Vicepresidente financiero y administrativo entidades financieras de telecomunicaciones y otros servicios;12.111.048;Vicepresidente financiero y administrativo entidades financieras de telecomunicaciones;Vicepresidente financiero y administrativo entidades financieras de telecomunicaciones;12111;Directores y gerentes financieros;;;;;;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.025;Vicepresidente jurídico entidades financieras;Vicepresidente juridico entidades financieras;12.111.049;Vicepresidente financiero y jurídico;Vicepresidente financiero y juridico;12111;Directores y gerentes financieros;;;;;;;;
0013;Directores y Gerentes Generales de Servicios Financieros, de Telecomunicaciones y Otros Servicios a las Empresas;D-0013.026;Gerente general de servicios financieros, de telecomunicaciones y otros servicios a las empresas;Gerente general de servicios financieros, de telecomunicaciones y otros servicios a las empresas;11.200.055;Gerente general de servicios financieros y de telecomunicaciones;Gerente general de servicios financieros y de telecomunicaciones;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.004;Director ejecutivo organización de membresía;Director ejecutivo organizacion de membresia;11.140.009;Director ejecutivo de organización de membrecía;Director ejecutivo de organizacion de membrecia;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.005;Director ejecutivo organización de voluntariado;Director ejecutivo organizacion de voluntariado;11.140.011;Director ejecutivo de organización voluntariado;Director ejecutivo de organizacion voluntariado;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.006;Director ejecutivo organización no gubernamental;Director ejecutivo organizacion no gubernamental;11.140.010;Director ejecutivo de organización no gubernamental;Director ejecutivo de organizacion no gubernamental;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.007;Director general asociación deportiva;Director general asociacion deportiva;11.140.013;Director general de asociación deportiva;Director general de asociacion deportiva;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.008;Director general clínica;Director general clinica;11.200.012;Director general de clínica;Director general de clinica;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.009;Director general entidad promotora de salud;Director general entidad promotora de salud;11.200.017;Director general de entidad promotora de salud;Director general de entidad promotora de salud;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.010;Director general hospital;Director general hospital;11.200.018;Director general de hospital;Director general de hospital;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.013;Director general institución servicios de salud;Director general institucion servicios de salud;11.200.019;Director general de institución de servicios salud;Director general de institucion de servicios salud;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.015;Director general organización de servicio social;Director general organizacion de servicio social;11.200.022;Director general de organización de servicio social;Director general de organizacion de servicio social;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.016;Director general organización humanitaria;Director general organizacion humanitaria;11.140.016;Director general de organización humanitaria;Director general de organizacion humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.018;Director partido político;Director partido politico;11.140.007;Director de partido político;Director de partido politico;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.019;Dirigente organización humanitaria;Dirigente organizacion humanitaria;11.140.020;Dirigente de organización humanitaria;Dirigente de organizacion humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.020;Gerente general empresa de servicios a la salud;Gerente general empresa de servicios a la salud;11.200.046;Gerente general de empresa de servicios de salud;Gerente general de empresa de servicios de salud;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.021;Gerente general entidad hospitalaria;Gerente general entidad hospitalaria;11.200.052;Gerente general de entidad hospitalaria;Gerente general de entidad hospitalaria;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.022;Gerente general entidad promotora salud;Gerente general entidad promotora salud;11.200.053;Gerente general de entidad promotora salud;Gerente general de entidad promotora salud;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.024;Presidente asociación científica;Presidente asociacion cientifica;11.140.025;Presidente de asociación científica;Presidente de asociacion cientifica;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.025;Presidente asociación deportiva;Presidente asociacion deportiva;11.140.026;Presidente de asociación deportiva;Presidente de asociacion deportiva;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.026;Presidente comité de derechos humanos;Presidente comite de derechos humanos;11.140.028;Presidente de comité de derechos humanos;Presidente de comite de derechos humanos;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.028;Presidente organización gremial;Presidente organizacion gremial;11.140.029;Presidente de organización gremial;Presidente de organizacion gremial;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.029;Presidente organización humanitaria;Presidente organizacion humanitaria;11.140.030;Presidente de organización humanitaria;Presidente de organizacion humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.030;Presidente organización sindical;Presidente organizacion sindical;11.140.031;Presidente de organización sindical;Presidente de organizacion sindical;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.031;Presidente partido político;Presidente partido politico;11.140.032;Presidente de partido político;Presidente de partido politico;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.033;Rector universidad;Rector universidad;11.200.085;Rector de universidad;Rector de universidad;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.034;Secretario general organización humanitaria;Secretario general organizacion humanitaria;11.140.037;Secretario general de organización humanitaria;Secretario general de organizacion humanitaria;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.035;Secretario general organización sindical;Secretario general organizacion sindical;11.140.038;Secretario general de organización sindical;Secretario general de organizacion sindical;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.036;Secretario general partido político;Secretario general partido politico;11.140.039;Secretario general de partido político;Secretario general de partido politico;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.038;Vicepresidente de recursos humanos, entidades de salud, educación y organizaciones de membresía;Vicepresidente de recursos humanos, entidades de salud, educacion y organizaciones de membresia;11.200.098;Vicepresidente de recursos humanos entidades de salud educación y organizaciones de membresía;Vicepresidente de recursos humanos entidades de salud educacion y organizaciones de membresia;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.039;Vicepresidente entidad de salud;Vicepresidente entidad de salud;11.200.095;Vicepresidente de entidad de salud;Vicepresidente de entidad de salud;11200;Directores y gerentes generales;;;;;;;;
0014;Directores y Gerentes Generales de Salud, Educación, Servicios Social, Comunitario y Organizaciones de Membresía;D-0014.042;Vicerrector académico universidad;Vicerrector academico universidad;11.200.105;Vicerrector académico de universidad;Vicerrector academico de universidad;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.001;Director ejecutivo empresas de comercio, medios de comunicación y otros servicios;Director ejecutivo empresas de comercio, medios de comunicacion y otros servicios;11.200.008;Director ejecutivo empresas de comercios medios de comunicación;Director ejecutivo empresas de comercios medios de comunicacion;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.002;Director general empresa de comercio;Director general empresa de comercio;11.200.014;Director general de empresa de comercio;Director general de empresa de comercio;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.003;Director general ventas empresas de comercio medios de comunicación y otros servicios;Director general ventas empresas de comercio medios de comunicacion y otros servicios;11.200.028;Director general ventas empresas de comercio medios de comunicación;Director general ventas empresas de comercio medios de comunicacion;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.004;Director gerente general comercio medios de comunicación y otros servicios;Director gerente general comercio medios de comunicacion y otros servicios;11.200.011;Director general comercio medios de comunicación;Director general comercio medios de comunicacion;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.006;Gerente general cadena de restaurantes;Gerente general cadena de restaurantes;11.200.036;Gerente general de cadena restaurantes;Gerente general de cadena restaurantes;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.007;Gerente general cadena radial;Gerente general cadena radial;11.200.035;Gerente general de cadena radial;Gerente general de cadena radial;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.008;Gerente general compañía de viajes y turismo;Gerente general compañia de viajes y turismo;11.200.040;Gerente general de compañía de viajes y turismo;Gerente general de compañia de viajes y turismo;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.010;Gerente general empresas de comercio medios de comunicación y otros servicios;Gerente general empresas de comercio medios de comunicacion y otros servicios;11.200.064;Gerente general empresas de comercio medios de comunicación;Gerente general empresas de comercio medios de comunicacion;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.013;Gerente general ventas empresas de comercio medios de comunicación y otros servicios;Gerente general ventas empresas de comercio medios de comunicacion y otros servicios;11.200.057;Gerente general de ventas en empresas de comercio medios de comunicación;Gerente general de ventas en empresas de comercio medios de comunicacion;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.014;Presidente club deportivo profesional;Presidente club deportivo profesional;11.140.027;Presidente de club deportivo profesional;Presidente de club deportivo profesional;11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales);;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.016;Presidente empresa de radio y televisión;Presidente empresa de radio y television;11.200.075;Presidente de empresa de radio y televisión;Presidente de empresa de radio y television;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.017;Presidente empresas de comercio medios de comunicación y otros servicios;Presidente empresas de comercio medios de comunicacion y otros servicios;11.200.082;Presidente empresas de comercio medios de comunicación;Presidente empresas de comercio medios de comunicacion;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.023;Vicepresidente de operaciones medios de comunicación;Vicepresidente de operaciones medios de comunicacion;13.303.018;Vicepresidente de operaciones de medios de comunicación;Vicepresidente de operaciones de medios de comunicacion;13303;Directores y gerentes de comunicaciones y audiovisuales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.024;Vicepresidente de producción empresas de comercio, medios de comunicación y otros servicios;Vicepresidente de produccion empresas de comercio, medios de comunicacion y otros servicios;13.303.021;Vicepresidente de producción empresas de comercio medios de comunicación;Vicepresidente de produccion empresas de comercio medios de comunicacion;13303;Directores y gerentes de comunicaciones y audiovisuales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.025;Vicepresidente de producción medios de comunicación;Vicepresidente de produccion medios de comunicacion;13.303.020;Vicepresidente de producción de medios de comunicación;Vicepresidente de produccion de medios de comunicacion;13303;Directores y gerentes de comunicaciones y audiovisuales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.028;Vicepresidente empresas de comercio medios de comunicación y otros servicios;Vicepresidente empresas de comercio medios de comunicacion y otros servicios;11.200.100;Vicepresidente empresas de comercio medios de comunicación;Vicepresidente empresas de comercio medios de comunicacion;11200;Directores y gerentes generales;;;;;;;;
0015;Directores y Gerentes Generales de Comercio, Medios de Comunicación y Otros Servicios;D-0015.029;Vicepresidente financiero y administrativo empresas de comercio, medios de comunicación y otros servicios;Vicepresidente financiero y administrativo empresas de comercio, medios de comunicacion y otros servicios;12.111.046;Vicepresidente financiero y administrativo empresas de comercio medios de comunicación;Vicepresidente financiero y administrativo empresas de comercio medios de comunicacion;12111;Directores y gerentes financieros;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.001;Director ejecutivo empresa manufacturera;Director ejecutivo empresa manufacturera;13.210.015;Director ejecutivo de empresa manufacturera;Director ejecutivo de empresa manufacturera;13210;Directores y gerentes de industrias manufactureras;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.005;Director gerente general producción de bienes, servicios públicos, transporte y construcción;Director gerente general produccion de bienes, servicios publicos, transporte y construccion;11.200.069;Gerente general producción de bienes servicios públicos transporte y construcción;Gerente general produccion de bienes servicios publicos transporte y construccion;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.007;Gerente general empresa agroindustrial;Gerente general empresa agroindustrial;11.200.042;Gerente general de empresa de agroindustrial;Gerente general de empresa de agroindustrial;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.009;Gerente general empresa de construcción;Gerente general empresa de construccion;11.200.044;Gerente general de empresa de construcción;Gerente general de empresa de construccion;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.013;Gerente general empresa de transporte;Gerente general empresa de transporte;11.200.050;Gerente general de empresa de transporte;Gerente general de empresa de transporte;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.014;Gerente general empresa metalmecánica;Gerente general empresa metalmecanica;11.200.045;Gerente general de empresa de metalmecánica;Gerente general de empresa de metalmecanica;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.017;Gerente general industria manufacturera;Gerente general industria manufacturera;11.200.054;Gerente general de industria manufacturera;Gerente general de industria manufacturera;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.018;Presidente compañía constructora;Presidente compañia constructora;11.200.072;Presidente de compañía constructora;Presidente de compañia constructora;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.019;Presidente empresa manufacturera;Presidente empresa manufacturera;11.200.078;Presidente de empresa manufacturera;Presidente de empresa manufacturera;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.021;Vicepresidente compañía constructora;Vicepresidente compañia constructora;11.200.089;Vicepresidente de compañía constructora;Vicepresidente de compañia constructora;11200;Directores y gerentes generales;;;;;;;;
0016;Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción;D-0016.022;Vicepresidente compañía petrolera;Vicepresidente compañia petrolera;11.200.090;Vicepresidente de compañía petrolera;Vicepresidente de compañia petrolera;11200;Directores y gerentes generales;;;;;;;;
